time,from,sender name,sender lat,sender long,rx lat,rx long,rx elevation,rx snr,distance,hop limit,payload,rx rssi
00:00:12,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-6.500000,0,0,"seq 2"
-116,06:28:32,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-10.000000,0,0,"seq 3"
-120,06:29:32,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-8.250000,0,0,"seq 4"
-118,06:30:32,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-4.500000,0,0,"seq 5"
-114,06:31:32,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-4.250000,0,0,"seq 6"
-114,06:32:32,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-17.500000,0,0,"seq 7"
-127,06:33:32,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-16.250000,0,0,"seq 8"
-126,06:34:32,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-11.250000,0,0,"seq 9"
-121,06:35:32,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-14.000000,0,0,"seq 10"
-123,06:37:33,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-12.750000,0,0,"seq 12"
-123,06:38:33,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-12.500000,0,0,"seq 13"
-122,06:39:33,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-15.250000,0,0,"seq 14"
-125,06:40:33,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-12.250000,0,0,"seq 15"
-122,06:41:33,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-12.000000,0,0,"seq 16"
-122,06:42:33,-1884870688,,0.000000,0.000000,50.723060,3.632340,88,-11.250000,0,0,"seq 17"
-121,06:43:33,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,-8.750000,0,0,"seq 18"
-119,06:44:33,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,-14.750000,0,0,"seq 19"
-124,06:46:33,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,5.000000,0,0,"seq 21"
-101,06:47:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,4.250000,0,0,"seq 22"
-100,06:48:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,5.750000,0,0,"seq 23"
-102,06:49:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,5.750000,0,0,"seq 24"
-101,06:50:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,5.500000,0,0,"seq 25"
-101,06:54:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,0.000000,0,0,"seq 29"
-111,06:55:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,-0.250000,0,0,"seq 30"
-111,06:56:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,-12.000000,0,0,"seq 31"
-122,06:58:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,-10.500000,0,0,"seq 33"
-120,06:59:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.000000,0,0,"seq 34"
-77,07:00:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,5.750000,0,0,"seq 35"
-77,07:01:34,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.000000,0,0,"seq 36"
-75,07:02:35,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.250000,0,0,"seq 37"
-72,07:03:35,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.500000,0,0,"seq 38"
-81,07:04:35,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,-12.750000,0,0,"seq 39"
-123,07:05:35,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,5.750000,0,0,"seq 40"
-74,07:06:35,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.000000,0,0,"seq 41"
-73,07:07:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.000000,0,0,"seq 42"
-72,07:08:35,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.250000,0,0,"seq 43"
-70,07:09:35,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.250000,0,0,"seq 44"
-72,07:10:35,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.000000,0,0,"seq 45"
-75,07:11:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,7.000000,0,0,"seq 46"
-74,07:12:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,7.750000,0,0,"seq 47"
-74,07:13:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.250000,0,0,"seq 48"
-75,07:14:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.000000,0,0,"seq 49"
-74,07:15:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.250000,0,0,"seq 50"
-75,07:16:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.000000,0,0,"seq 51"
-77,07:17:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,5.750000,0,0,"seq 52"
-74,07:18:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.500000,0,0,"seq 53"
-72,07:19:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,5.750000,0,0,"seq 54"
-76,07:20:36,-1884870688,Mobile,0.000000,0.000000,50.723060,3.632340,88,6.000000,0,0,"seq 55"
